      x         y         z     velocity      sfr
     44.26     13.26     44.81   2988.20      7.34
     50.57     19.41     45.37   3500.56      3.33
     40.63     44.44     45.46   4904.42      5.54
     50.41     33.78     45.48   4570.28      3.07
     50.69     20.27     45.55   3533.36      1.67
     55.65      8.06     45.70   2818.40      4.81
     56.85      7.07     45.76   3100.28      1.03
     52.60     53.07     45.84   5252.64      1.84
     52.03     31.53     46.24   4799.00      1.84
     50.47     36.66     46.28   4633.40      4.39
     52.00     57.64     46.36   5038.92      2.29
     41.59     10.13     46.39   3405.70      3.05
     45.06    123.86     46.48  10145.93      2.72
     57.84    131.27     46.48  10474.75      0.00
     51.57     32.22     46.61   4100.06     17.59
     41.69      6.32     46.67   3770.77      5.87
     41.59     44.99     46.80   4958.40      3.78
     54.74      4.46     46.82   3382.99      4.33
     49.69     44.88     46.99   4975.80      0.00
     45.58     39.44     47.03   4678.20      1.77
     55.57      2.82     47.76   3523.05      2.47
     55.44     56.74     47.85   5488.93      3.11
     55.82    130.79     47.90  10560.54      3.17
     46.08     45.67     48.04   5061.09      1.86
     41.48     11.27     48.06   3748.96      4.01
     52.98     21.98     48.22   3759.27     10.52
     41.23     10.77     48.27   3517.49      1.11
     52.66     38.88     48.36   4797.93     10.12
     53.31     28.97     48.42   4223.33      5.97
     46.49     45.90     48.62   4992.94      5.79
     54.54     30.16     48.67   4365.32      1.47
     53.51      9.78     48.86   3358.77      3.69
     40.11      4.74     49.18   3753.13      3.87
     43.22    132.03     49.30  10614.85      3.24
     54.15      8.00     49.58   3019.90      1.65
     53.56     25.88     49.62   3927.88      3.25
     58.42    139.87     49.75  11135.97      2.30
     41.59     13.76     49.82   3723.39      7.18
     50.58     41.29     49.82   4782.78      9.87
     53.62    132.04     50.06  10580.68      0.00
     53.54    132.04     50.25  10662.72      0.00
     54.39     91.94     50.69   7784.33      7.46
     59.00    128.26     50.75  10542.71      3.45
     54.24     92.11     50.84   7494.06      0.56
     42.84     40.52     50.92   4926.11      2.24
     44.50     80.74     50.94   7243.32      1.80
     52.08    132.25     51.46  10430.61      2.00
     47.37    112.49     51.79   8993.18      4.70
     53.33    131.77     52.30  10703.72      3.51
     47.92     45.55     52.34   5474.14      2.65
     52.87     60.07     52.38   5821.20      1.92
     50.43     42.59     52.79   5129.06      2.85
     49.35      5.18     53.80   3731.93      2.35
     54.59     73.62     53.85   7027.84      1.41
     43.07    112.08     53.96   9438.58      4.56
     48.55    133.01     54.01  10907.92      9.22
     47.02    133.40     54.02  10645.28      1.65
     49.86    111.11     54.34   9215.22      4.23
     53.18    131.18     54.46  10576.04      2.05
     45.48     54.81     54.48   5552.65      3.12
     56.27    104.42     54.58   9039.58      3.12
     41.06    137.66     54.67  11088.92      3.49
     46.07     89.76     55.14   7973.82      1.97
     55.49     34.41     55.61   5313.26      4.21
     49.12     45.73     55.67   5362.10      0.00
     54.62     73.87     55.79   7126.95      4.05
     46.73    132.09     56.03  10755.89     11.87
     49.61     46.04     56.37   5510.26      2.49
     55.73     35.48     56.47   4988.37      2.59
     54.16    131.51     56.66  10640.49      2.02
     58.54     55.69     57.20   5986.31      0.02
     58.57     55.65     57.22   6162.42      6.19
     44.94      3.55     57.35   4357.84      1.90
     57.00     45.82     57.93   5523.42      4.89
     43.85      2.96     58.67   4900.90      6.88
     47.43    104.68     58.98   8851.31      8.13
     58.12    111.71     59.04   9678.39      3.58
     56.22     39.46     59.07   5348.82      8.67
     49.11     92.71     59.32   8678.22      7.40
     59.43     65.69     59.35   6868.16      2.38
     49.06     92.47     59.51   8084.98      0.09
     47.03     98.40     59.54   8236.18      4.65
     41.15     35.06     59.77   5283.86      2.59
     49.53     45.43     59.82   5873.23      2.00
     40.57     14.01     59.83   4397.39      5.94
     45.13    111.30     59.92   9416.15      2.30
     40.74     17.58     59.94   4677.67      2.02
     48.39     36.87     60.03   5699.75      6.57
     49.54     44.15     60.13   5898.47      1.46
     58.64     67.54     60.62   6653.15     11.02
     59.15     67.43     60.66   6620.97      0.10
     58.60     67.69     60.75   6697.17      0.04
     56.60     39.95     60.82   5771.94      2.64
     47.27     92.51     61.61   8043.16      2.58
     49.09     45.63     61.83   5952.28      5.14
     41.14     81.57     61.91   7925.16      5.71
     54.34    133.83     61.93  11520.79      4.11
     57.24     44.58     61.93   5933.17      5.17
     57.01    134.04     62.02  11202.17      2.13
     48.94     42.44     62.40   6357.71      9.32
     56.65     40.27     62.44   5967.24      1.57
     56.52     71.45     62.58   7245.97      6.79
     40.99     81.80     62.71   8202.79      1.83
     48.86    130.92     62.73  11096.49      2.17
     44.77     93.36     62.76   8056.14      1.90
     40.71     65.35     63.01   7122.43     10.52
     40.74     65.36     63.07   7345.55      0.01
     46.81     40.82     63.27   5838.16      2.54
     42.85     68.35     63.64   7301.15      7.65
     41.11     34.79     63.68   5641.15      2.85
     56.01     63.81     63.84   6846.53      2.57
     54.96     76.76     63.87   7684.25      1.31
     46.77     98.71     63.88   8601.19      5.87
     54.98     76.75     63.89   7842.46      8.24
     41.79     81.33     63.97   7998.65      3.54
     47.05     96.89     64.21   8474.77      2.69
     57.83     81.10     64.25   8059.49     14.37
     57.81     81.08     64.29   7467.11      0.00
     57.42     43.82     64.75   6520.88      3.76
     40.28     83.65     64.76   8295.19      5.97
     59.99     82.30     64.90   7573.65      1.78
     48.20     43.77     65.10   6262.78      5.23
     48.17     43.73     65.24   5964.35      0.55
     48.91     46.69     65.31   6322.68      8.55
     42.10     82.21     65.37   7083.97     10.37
     55.12     80.86     65.63   7699.04      1.28
     59.57    117.01     65.76  10204.93      2.07
     45.21     80.35     66.00   7903.32      0.00
     44.39     81.33     66.11   7505.05      0.00
     42.08     35.92     66.17   5677.84      2.85
     44.92     81.16     66.29   8208.27      0.00
     52.01     69.60     66.29   7334.17      6.40
     44.31     81.23     66.36   7020.87      0.00
     45.11     65.89     66.38   7654.52      2.08
     44.65     81.22     66.43   8098.58      0.00
     50.97     46.64     66.43   6419.97      1.24
     41.00     58.51     66.59   6966.78      4.66
     43.23     98.96     66.65   8573.81      2.43
     51.39     64.90     67.21   6855.23      3.51
     52.17     62.42     67.35   7049.80      5.29
     55.29    137.68     67.44  11515.54     12.60
     48.19     49.42     67.47   6343.48      2.26
     59.39     42.82     67.61   6756.12     20.89
     46.72     79.70     67.63   7271.38      5.80
     46.50     68.03     67.69   7827.43      8.54
     49.00     80.12     67.98   8156.43     11.65
     52.81     63.11     67.99   7631.45      0.00
     57.28     50.29     68.25   6619.90      2.61
     52.31     63.44     68.26   7290.72      0.00
     48.89    115.69     68.31  10494.18      2.04
     52.13     63.63     68.34   7655.75      0.00
     51.49     66.43     68.37   7172.21      4.27
     50.83     66.71     68.54   7136.57      2.15
     50.63     63.60     68.62   7540.34      2.22
     57.00     85.62     68.65   7982.90      1.83
     47.73     70.38     68.79   7730.43      1.38
     53.49     61.16     68.83   7441.00      2.99
     55.87     82.87     68.96   7924.09      6.26
     48.84     69.88     68.98   7083.42      6.83
     59.64     36.03     69.01   6201.35      4.84
     49.82    128.50     69.12  11041.70      3.04
     54.33    138.26     69.12  11366.48      3.04
     52.55     61.89     69.26   7128.47      0.00
     40.87    126.15     69.27  11081.90      0.00
     44.04     73.72     69.29   7940.56      2.81
     53.78     61.77     69.37   6868.06      2.80
     57.23    139.21     69.39  11111.13      1.61
     48.89     47.12     69.49   6574.00      1.74
     41.34    126.82     69.66  10017.65      0.00
     54.45     53.95     69.96   6293.69      4.41
     57.38     43.87     69.99   6874.66      5.26
     58.06    136.95     70.12  11140.78      2.02
     42.40    128.53     70.15  10493.18      1.82
     57.03     48.49     70.26   6476.92      7.15
     48.62     81.55     70.29   8339.58      2.59
     40.47    119.35     70.52  10547.76      3.53
     55.43     50.95     70.80   6502.88      4.88
     54.86     55.72     70.93   6732.81      1.72
     50.17    119.09     71.05  10868.60      3.65
     46.30    123.03     71.25  10499.64      2.58
     44.45     56.70     71.26   7099.41      1.29
     47.31     81.24     71.29   7439.58      2.96
     45.64     56.18     71.33   6881.33      2.84
     53.66    118.85     71.33  10180.59     13.25
     53.69    118.83     71.44  10470.02      0.03
     48.61     58.81     71.53   7120.74      2.02
     42.90     70.67     71.57   8230.64      0.00
     49.08     81.91     71.58   7523.96      0.00
     50.10     47.16     71.63   6920.95      1.95
     55.54     48.11     71.99   5888.00      9.49
     45.33     52.47     72.04   7303.69      2.71
     48.40     81.08     72.22   7525.54      0.00
     45.90     71.02     72.25   7572.33      1.73
     48.64     81.39     72.29   6996.68      0.00
     53.03     95.40     72.31   8870.76      3.39
     44.35     70.17     72.41   7769.77      2.41
     48.45    120.51     72.42  10105.01      0.00
     57.46     46.82     72.43   6156.05      0.00
     48.79    120.34     72.45  10618.96      0.00
     58.38     36.07     72.49   6429.07      2.48
     48.10     80.94     72.52   8927.87      0.00
     57.59     47.24     72.52   6497.68      0.00
     48.04     49.64     72.54   6801.19      6.13
     48.09     81.07     72.54   8253.61      0.00
     48.37     80.88     72.56   6517.66      0.00
     51.15     82.93     72.57   7319.01      3.30
     58.64     41.03     72.63   7141.17      2.15
     57.41     78.80     73.22   8009.89      2.14
     57.35     45.20     73.25   5977.22      0.90
     51.09     56.44     73.35   6387.83     17.84
     57.95     45.35     73.40   7310.24      3.74
     50.84     56.40     73.51   6932.84      0.44
     52.38     55.73     73.60   6948.97      5.75
     54.77     94.40     73.62   8595.56      4.76
     45.09     51.24     73.69   7180.58      3.67
     59.10     79.41     73.77   8147.52      4.81
     44.01     86.37     73.78   8014.61      6.44
     54.69     86.81     73.82   8101.64      2.77
     58.69     43.27     74.09   8200.32      0.00
     58.11     44.45     74.31   8122.16      0.00
     42.92    115.41     74.43  10298.66      2.50
     58.43     44.48     74.55   6458.35      0.28
     48.91     88.15     74.62   8261.36      4.28
     45.24     74.67     74.63   8121.61      6.84
     57.94     43.91     74.66   8740.62      0.00
     45.44     76.04     74.84   8046.75      1.52
     49.04      1.53     74.87   5858.11      6.00
     58.38     44.13     75.02   5634.85      0.00
     57.84     44.01     75.05   5537.80      0.00
     49.48     88.84     75.10   8419.47     10.42
     57.63     44.02     75.11   6368.69      0.00
     57.29     44.66     75.13   7853.06      0.00
     56.24     38.91     75.16   6878.36      3.59
     57.60     43.84     75.32   5994.77      0.00
     51.66     51.78     75.42   6809.40      2.65
     57.89     43.87     75.52   5730.14      0.00
     58.11     43.51     75.59   4651.18      0.00
     58.40     88.83     75.84   8796.71      4.01
     50.53     55.63     76.00   7115.98      1.80
     57.69     88.72     76.10   8674.52      2.71
